complaint_id,date_received,date_sent_to_company,company,product,sub_product,issue,sub_issue,company_public_response,company_response_to_consumer,timely_response,consumer_disputed,submitted_via,date_company_response,state,zip_code,tags,narrative,month,taxonomy_version,narrative_available,days_to_company
1,2023-09-15,2023-09-15,Demo Finance 1,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with monetary relief,No,Unknown,Web,2023-09-15,NY,Unknown,Unknown,merchant dispute delayed refund,2023-09,post_2023_08_update,1,0
2,2023-09-15,2023-09-15,Demo Finance 2,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2023-09-15,CA,Unknown,Unknown,merchant dispute delayed refund,2023-09,post_2023_08_update,1,0
3,2023-09-15,2023-09-15,Demo Finance 3,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2023-09-15,NY,Unknown,Unknown,merchant dispute delayed refund,2023-09,post_2023_08_update,1,0
4,2023-09-15,2023-09-15,Demo Finance 1,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2023-09-15,CA,Unknown,Unknown,merchant dispute delayed refund,2023-09,post_2023_08_update,1,0
5,2023-09-15,2023-09-15,Demo Finance 2,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2023-09-15,NY,Unknown,Unknown,merchant dispute delayed refund,2023-09,post_2023_08_update,1,0
6,2023-09-15,2023-09-15,Demo Finance 3,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2023-09-15,CA,Unknown,Unknown,merchant dispute delayed refund,2023-09,post_2023_08_update,1,0
7,2023-09-15,2023-09-15,Demo Finance 1,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with explanation,No,Unknown,Web,2023-09-15,NY,Unknown,Unknown,merchant dispute delayed refund,2023-09,post_2023_08_update,1,0
8,2023-09-15,2023-09-15,Demo Finance 2,Credit card,Unknown,Late fee,Unknown,Unknown,Closed with non-monetary relief,Yes,Unknown,Web,2023-09-15,CA,Unknown,Unknown,merchant dispute delayed refund,2023-09,post_2023_08_update,1,0
9,2024-01-15,2024-01-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with monetary relief,No,Unknown,Web,2024-01-15,NY,Unknown,Unknown,payment delayed customer concern,2024-01,post_2023_08_update,1,0
10,2024-01-15,2024-01-15,Demo Finance 2,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-01-15,CA,Unknown,Unknown,payment delayed customer concern,2024-01,post_2023_08_update,1,0
11,2024-01-15,2024-01-15,Demo Finance 3,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-01-15,NY,Unknown,Unknown,payment delayed customer concern,2024-01,post_2023_08_update,1,0
12,2024-01-15,2024-01-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-01-15,CA,Unknown,Unknown,payment delayed customer concern,2024-01,post_2023_08_update,1,0
13,2024-01-15,2024-01-15,Demo Finance 2,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-01-15,NY,Unknown,Unknown,payment delayed customer concern,2024-01,post_2023_08_update,1,0
14,2024-01-15,2024-01-15,Demo Finance 3,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with monetary relief,Yes,Unknown,Web,2024-01-15,CA,Unknown,Unknown,payment delayed customer concern,2024-01,post_2023_08_update,1,0
15,2024-01-15,2024-01-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,No,Unknown,Web,2024-01-15,NY,Unknown,Unknown,payment delayed customer concern,2024-01,post_2023_08_update,1,0
16,2024-01-15,2024-01-15,Demo Finance 2,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with non-monetary relief,Yes,Unknown,Web,2024-01-15,CA,Unknown,Unknown,payment delayed customer concern,2024-01,post_2023_08_update,1,0
17,2024-01-15,2024-01-15,Demo Finance 3,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-01-15,NY,Unknown,Unknown,payment delayed customer concern,2024-01,post_2023_08_update,1,0
18,2024-01-15,2024-01-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-01-15,CA,Unknown,Unknown,payment delayed customer concern,2024-01,post_2023_08_update,1,0
19,2024-02-15,2024-02-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with monetary relief,No,Unknown,Web,2024-02-15,NY,Unknown,Unknown,payment delayed customer concern,2024-02,post_2023_08_update,1,0
20,2024-02-15,2024-02-15,Demo Finance 2,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-02-15,CA,Unknown,Unknown,payment delayed customer concern,2024-02,post_2023_08_update,1,0
21,2024-02-15,2024-02-15,Demo Finance 3,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-02-15,NY,Unknown,Unknown,payment delayed customer concern,2024-02,post_2023_08_update,1,0
22,2024-02-15,2024-02-15,Demo Finance 1,Mortgage,Unknown,Payment trouble,Unknown,Unknown,Closed with explanation,Yes,Unknown,Web,2024-02-15,CA,Unknown,Unknown,payment delayed customer concern,2024-02,post_2023_08_update,1,0
