product,company_response_to_consumer,complaints
Credit reporting or other personal consumer reports,Closed with explanation,5838827
Credit reporting or other personal consumer reports,Closed with non-monetary relief,4409968
Credit reporting or other personal consumer reports,In progress,501518
Debt collection,Closed with explanation,459343
Checking or savings account,Closed with explanation,156023
Debt collection,Closed with non-monetary relief,154403
Credit card,Closed with explanation,150962
Credit reporting or other personal consumer reports,Unknown,137317
"Money transfer, virtual currency, or money service",Closed with explanation,114582
Mortgage,Closed with explanation,64298
Credit card,Closed with non-monetary relief,47589
Vehicle loan or lease,Closed with explanation,44884
Student loan,Closed with explanation,44133
Credit card,Closed with monetary relief,30994
"Payday loan, title loan, personal loan, or advance loan",Closed with explanation,29913
Checking or savings account,Closed with monetary relief,24139
Debt collection,Unknown,18723
Prepaid card,Closed with explanation,12906
Checking or savings account,Closed with non-monetary relief,10916
Debt collection,In progress,8853
Debt collection,Untimely response,7971
Debt or credit management,Closed with explanation,7443
Student loan,Untimely response,6436
Credit reporting or other personal consumer reports,Untimely response,5439
"Money transfer, virtual currency, or money service",Closed with monetary relief,5259
Prepaid card,Closed with monetary relief,3762
Checking or savings account,In progress,3666
Checking or savings account,Unknown,3460
Credit card,In progress,3446
"Money transfer, virtual currency, or money service",Closed with non-monetary relief,3353
Credit card,Unknown,3314
Vehicle loan or lease,Closed with non-monetary relief,3234
Credit reporting or other personal consumer reports,Closed with monetary relief,2408
Mortgage,Closed with non-monetary relief,1887
"Money transfer, virtual currency, or money service",Unknown,1758
Mortgage,Unknown,1549
Mortgage,In progress,1447
"Payday loan, title loan, personal loan, or advance loan",Closed with non-monetary relief,1279
Mortgage,Closed with monetary relief,1263
Vehicle loan or lease,Closed with monetary relief,1162
Vehicle loan or lease,Unknown,1161
Student loan,In progress,1131
Debt collection,Closed with monetary relief,1118
"Payday loan, title loan, personal loan, or advance loan",Closed with monetary relief,1102
Prepaid card,Closed with non-monetary relief,1050
Student loan,Closed with non-monetary relief,1020
Debt or credit management,Closed with non-monetary relief,953
"Payday loan, title loan, personal loan, or advance loan",Unknown,874
"Money transfer, virtual currency, or money service",In progress,827
Vehicle loan or lease,In progress,759
Student loan,Unknown,518
"Payday loan, title loan, personal loan, or advance loan",Untimely response,480
"Money transfer, virtual currency, or money service",Untimely response,459
Prepaid card,Unknown,435
Mortgage,Untimely response,405
Debt or credit management,Untimely response,390
"Payday loan, title loan, personal loan, or advance loan",In progress,381
Debt or credit management,Closed with monetary relief,322
Debt or credit management,Unknown,298
Student loan,Closed with monetary relief,273
Vehicle loan or lease,Untimely response,266
Checking or savings account,Untimely response,235
Credit card,Untimely response,212
Debt or credit management,In progress,197
Prepaid card,In progress,118
Prepaid card,Untimely response,78
Other,Unknown,42
Unknown,Unknown,23
